Geo_FILEID	Geo_STUSAB	Geo_GEOCOMP	Geo_LOGRECNO	Geo_US	Geo_REGION	Geo_DIVISION	Geo_STATECE	Geo_STATE	Geo_COUNTY	Geo_COUSUB	Geo_PLACE	Geo_TRACT	Geo_BLKGRP	Geo_CONCIT	Geo_AIANHH	Geo_AIANHHFP	Geo_AIHHTLI	Geo_AITSCE	Geo_AITS	Geo_ANRC	Geo_CBSA	Geo_CSA	Geo_METDIV	Geo_MACC	Geo_MEMI	Geo_NECTA	Geo_CNECTA	Geo_NECTADIV	Geo_UA	Geo_UACP	Geo_CDCURR	Geo_SLDU	Geo_SLDL	Geo_VTD	Geo_ZCTA3	Geo_ZCTA5	Geo_SUBMCD	Geo_SDELM	Geo_SDSEC	Geo_SDUNI	Geo_UR	Geo_PCI	Geo_TAZ	Geo_UGA	Geo_PUMA5	Geo_PUMA1	Geo_GEOID	Geo_NAME	Geo_BTTR	Geo_BTBG	Geo_FIPS	Geo_QName	SE_A00001_001	SE_A00002_001	SE_A00002_002	SE_A00002_003	SE_A00003_001	SE_A00003_002	SE_A00003_003	SE_A10008_001	SE_A10008_002	SE_A10008_003	SE_A10008_004	SE_A10008_005	SE_A10008_006	SE_A10008_007	SE_A10008_008	SE_A10008_009	SE_A10003_001	SE_A12002_001	SE_A12002_002	SE_A12002_003	SE_A12002_004	SE_A12002_005	SE_A12002_006	SE_A12002_007	SE_A12002_008	SE_A12003_001	SE_A12003_002	SE_A12003_003	SE_A17002_001	SE_A17002_002	SE_A17002_003	SE_A17002_004	SE_A17002_005	SE_A17002_006	SE_A17002_007	SE_A17005_001	SE_A17005_002	SE_A17005_003	SE_A14001_001	SE_A14001_002	SE_A14001_003	SE_A14001_004	SE_A14001_005	SE_A14001_006	SE_A14001_007	SE_A14001_008	SE_A14001_009	SE_A14001_010	SE_A14001_011	SE_A14001_012	SE_A14001_013	SE_A14001_014	SE_A14001_015	SE_A14001_016	SE_A14001_017	SE_A10026_001	SE_A10026_002	SE_A10026_003	SE_A10026_004	SE_A10026_005	SE_A10026_006	SE_A10026_007	SE_A10026_008	SE_A10026_009	SE_A10026_010	SE_A10026_011	SE_A10026_012	SE_A10026_013	SE_A10026_014	SE_A10026_015	SE_A10026_016	SE_A10026_017	SE_A10026_018	SE_A10026_019	SE_A10026_020	SE_A10026_021	SE_A10026_022	SE_A10026_023	SE_A14024_001	SE_A14028_001	SE_A10001_001	SE_A10060_001	SE_A10060_002	SE_A10060_003	SE_A10044_001	SE_A10044_002	SE_A10044_003	SE_A10047_001	SE_A10047_002	SE_A10047_003	SE_A10047_004	SE_A10035_001	SE_A10035_002	SE_A10035_003	SE_A10035_004	SE_A10035_005	SE_A10035_006	SE_A10035_007	SE_A10035_008	SE_A10035_009	SE_A10035_010	SE_A18001_001	SE_A18001_002	SE_A18001_003	SE_A18001_004	SE_A18001_005	SE_A18001_006	SE_A18001_007	SE_A18001_008	SE_A18001_009	SE_A18002_001	SE_A18002_002	SE_A18002_003	SE_A18002_004	SE_A18002_005	SE_A18002_006	SE_A18003_001	SE_A18010_001	SE_A18010_002	SE_A18010_003	SE_A18010_004	SE_A18010_005	SE_A18010_006	SE_A18010_007	SE_A13004_001	SE_A13004_002	SE_A13004_003	SE_A13004_004	SE_A13004_005	SE_A13004_006	SE_A13004_007	SE_A09001_001	SE_A09001_002	SE_A09001_003	SE_A09001_004	SE_A09001_005	SE_A09001_006	SE_A09001_007	SE_A09001_008	SE_A09001_009	SE_A09001_010	SE_A08001_001	SE_A08001_002	SE_A08001_003	SE_A08001_004	SE_A08001_005	SE_A08001_006	SE_A08002B_007	SE_A08002B_001	SE_A08002B_002	SE_A08002B_003	SE_A08002B_004	SE_A08002B_005	SE_A08002B_006
ACSSF	ca	0	13					6	1																																						05000US06001	Alameda County			6001	Alameda County, California	1671329	1671329	2266.8237832568	737.2999226251	821.0546	737.2999	83.75473	585632	381906	295523	86383	26522	59861	203726	95702	108024	2.8	1195107	124062	1071045	864684	604814	254123	76787	40658	76308	1339	74969	1368100	923970	2516	921454	885937	35517	444130	921454	885937	35517	585632	24334	19977	12841	16111	13599	14257	11371	13986	12332	28855	39143	62451	62944	48522	74927	129982	585632	49270	1791	4295	43184	43407	4088	3849	35470	36990	4810	4358	27822	67264	13912	11878	41474	376968	194772	116945	65251	6260	5473	51727	0.4621	622957	585632	310526	275106	622957	585632	37325	37325	9732	3036	24557	310526	1506	895	2095	3294	7232	23329	71502	85933	114740	269633	8486	9779	8995	12081	19535	21511	56430	132816	275106	9734	128231	63087	63679	10375	29.1000003815	1982	1440	1695	2077	2485	2833	2742	1642900	76159	24652	44750	71697	80991	1344651	812004	758769	42103	168472	121214	127073	148424	110246	41237	53235	1654799	1446222	103959	64401	22500	17717	1623934	713827	580869	67219	39296	16192	10251
ACSSF	ca	0	14					6	7																																						05000US06007	Butte County			6007	Butte County, California	219186	219186	133.9382787907	1636.4701859623	1677.131	1636.47	40.6608	77651	48238	35725	12513	4603	7910	29413	12131	17282	2.75	143815	16612	127203	95941	43830	14144	6126	2926	13885	1110	12775	179661	103088	402	102686	95672	7014	76573	102686	95672	7014	77651	4841	4402	3441	3627	4372	3800	2644	2654	2731	5541	7422	10529	6589	4250	4045	6763	77651	10882	305	884	9693	11421	1331	1810	8280	7827	2233	1912	3682	12815	4601	5952	2262	31994	23396	6407	2191	924	1788	34250	0.5208	86212	77651	45913	31738	86212	77651	8561	8561	1942	912	5707	45913	1375	831	2705	1921	12350	16105	6997	2065	1564	29950	431	2152	4799	5820	5070	4563	4096	3019	31738	1138	12534	8746	6992	2328	31.8999996185	1087	714	861	997	1463	1848	669	213523	16299	7982	9769	15810	17242	146421	93159	87837	18508	39323	9854	9740	4768	2834	2810	5322	215975	167762	32142	13090	2619	362	210247	82142	54205	17729	8399	1774	35
ACSSF	ca	0	15					6	13																																						05000US06013	Contra Costa County			6013	Contra Costa County, California	1153526	1153526	1608.6395509237	717.0817100311	804.0638	717.0817	86.98212	399792	283816	219892	63924	16541	47383	115976	50097	65879	2.86	802187	87676	714511	571042	344780	137706	45132	18921	59045	880	58165	926317	601076	0	601076	576786	24290	325241	601076	576786	24290	399792	13301	11336	5971	10184	8087	10949	10103	8563	8800	19238	29407	50121	41140	34398	48633	89561	399792	24960	632	1271	23057	28161	2883	1917	23361	26812	4527	3661	18624	47863	9968	9713	28182	263074	142601	71526	48947	4569	4353	52021	0.466	418696	399792	261531	138261	418696	399792	18904	18904	6469	1753	10682	261531	2191	1364	2814	2390	9731	52054	80254	44951	65782	133908	3094	3403	3963	5279	10031	13286	31114	63738	138261	4330	59193	34958	32428	7352	30.7000007629	1948	1726	1586	1866	2307	2727	2765	1143399	44908	19368	26232	58358	63650	930883	559646	520672	44005	111144	71364	67631	85289	89419	51820	38974	1140656	1008660	67271	45405	10751	8569	1130825	387176	310576	43104	21003	6401	6092
ACSSF	ca	0	16					6	17																																						05000US06017	El Dorado County			6017	El Dorado County, California	192843	192843	112.916181017	1707.8420317005	1786.348	1707.842	78.50557	74216	50614	41904	8710	2512	6198	23602	10886	12716	2.57	142068	10025	132043	100405	50191	15291	5608	2141				159418	95384	296	95088	90690	4398	64034	95088	90690	4398	74216	3289	3428	2688	1574	1756	2749	2249	2460	1799	4169	5960	8895	9233	5642	7741	10584	74216	8564	81	243	8240	5939	697	962	4280	6508	1756	1518	3234	9825	3308	2235	4282	41953	26958	9532	5463	729	698	46669	0.4805	91662	74216	54917	19299	91662	74216	17446	17446	768	602	16076	54917	524	195	683	900	5462	19540	19120	5780	2713	18601	83	1162	1424	2816	3122	2994	3651	3349	19299	1152	5788	4568	7033	758	37.5999984741	1308	970	949	1334	1586	2269		189968	7864	2954	6918	8339	12257	151636	87829	80597	10896	23110	14767	11925	9557	6801	3541	7232	191414	157043	14092	15373	4161	745	189624	48569	35015	6605	4305	2080	564
ACSSF	ca	0	17					6	19																																						05000US06019	Fresno County			6019	Fresno County, California	999101	999101	167.6878856626	5958.0988576009	6011.128	5958.099	53.02926	315974	226172	146683	79489	24565	54924	89802	42465	47337	3.11	621440	145187	476253	339750	136816	45271	16592	4584	56904	1286	55618	746456	448362	920	447442	410423	37019	298094	447442	410423	37019	315974	24453	16677	13819	16844	14620	17413	11864	14023	10431	21599	32239	39127	31666	13940	20352	16907	315974	47843	1820	2651	43372	47486	5145	6329	36012	35475	7296	9209	18970	53193	20274	18593	14326	120907	83468	27307	10132	5114	5956	25260	0.4669	336479	315974	169436	146538	336479	315974	20505	20505	6382	2360	11763	169436	2450	2515	5151	8343	72915	60043	11580	3103	3336	140582	4415	13946	21437	26308	30973	17520	19606	6377	146538	4934	55892	36741	38864	10107	33	1034	851	798	1003	1301	1487	1729	981920	82925	57709	62064	110213	107715	561294	401105	379622	43555	122955	100501	64861	25315	12995	9440	21483	986104	867211	87558	19851	8281	3203	968759	440495	367890	54088	10356	5988	2173
ACSSF	ca	0	18					6	23																																						05000US06023	Humboldt County			6023	Humboldt County, California	135558	135558	37.9908625554	3568.1737892222	4052.255	3568.174	484.0809	55692	29816	21565	8251	3216	5035	25876	13317	12559	2.36	93098	8531	84567	65332	28292	9180	2537	959				112204	68260	89	68171	63682	4489	43944	68171	63682	4489	55692	4253	6531	1938	1996	3099	1483	2807	2326	2755	4126	4410	6390	4474	2593	3084	3427	55692	11884	1048	1367	9469	6102	833	923	4346	7791	2340	1249	4202	8343	3733	2105	2505	19826	13107	5802	917	557	1189	32537	0.5115	63723	55692	30623	25069	63723	55692	8031	8031	1234	189	6608	30623	1229	750	1312	335	7933	12354	5053	906	751	23880	1216	1702	2457	6438	5118	1542	3223	2184	25069	1223	8056	5970	8235	1585	36.0999984741	1006	950	836	1031	1283	1920	1701	132369	13861	4554	7471	9403	13004	84076	62360	57582	15361	19595	9997	6395	4060	1564	610	4778	134282	109712	12832	8480	3168	90	130310	56119	39659	8090	6241	2129	0
ACSSF	ca	0	19					6	25																																						05000US06025	Imperial County			6025	Imperial County, California	181215	181215	43.3883654518	4176.5804752763	4481.683	4176.581	305.1027	48182	36308	23466	12842	3630	9212	11874	5925	5949	3.54	111755	31668	80087	54037	20569	5033	1289	720				135259	68860	563	68297	60600	7697	66399	68297	60600	7697	48182	3293	5026	3371	2182	2678	1671	3008	1459	2545	2739	4289	6229	4353	1632	2276	1431	48182	10952	706	1514	8732	6415	636	1182	4597	6799	1991	1800	3008	6908	3300	2297	1311	15781	11954	2861	966	445	882	18800	0.4579	58285	48182	26722	21460	58285	48182	10103					26722	686	663	960	4069	14875	4653	275	332	209	20578	2170	3280	4683	3953	2533	1575	2201	183	21460	1383	8412	4821	5759	1085	30.7999992371	810	556	385	797	1039	1241	1661	170050	18740	11533	12414	22200	16273	88890		58701	11744	21427	10337	6462	3972	2344	2415		179099	160051	13382	3248	885	1533	168533	73578	61008	9500	1930	357	783
ACSSF	ca	0	20					6	29																																						05000US06029	Kern County			6029	Kern County, California	900202	900202	110.6951846217	8132.2598004315	8162.671	8132.26	30.4112	272888	199179	136005	63174	19228	43946	73709	40222	33487	3.2	551956	130580	421376	266293	94296	29512	7878	2593	49809	1907	47902	665025	387347	3664	383683	352979	30704	277678	383683	352979	30704	272888	15195	17425	14352	17484	13968	13540	11318	13176	11867	19502	27606	28156	23947	13730	17576	14046	272888	42310	1806	3193	37311	44310	5059	5709	33542	36311	7968	10146	18197	46672	17329	15348	13995	96844	73389	18671	4784	3422	3019	24524	0.4737	302927	272888	160392	112496	302927	272888	30039	30039	5623	2264	22152	160392	3764	3408	9349	15451	80474	37080	7364	2799	703	109477	2084	11611	21090	25559	18527	14859	11502	4245	112496	2839	42784	33611	28461	4801	33.7000007629	949	758	650	894	1203	1470	1759	872223	63871	47618	55279	123903	98080	483472	347891	335605	38089	122329	84647	43984	24306	11663	10587	12286	890132	771146	79938	25202	8738	5108	863264	354925	291960	47485	9075	3847	2558
ACSSF	ca	0	21					6	31																																						05000US06031	Kings County			6031	Kings County, California	152940	152940	110.0043201617	1390.3090330921	1391.53	1390.309	1.221111	44761	33989	23108	10881	3462	7419	10772	5591	5181	3.09	95083	27077	68006	46499	16745	5311	1938	232				115124	64262	6418	57844	53749	4095	50862	57844	53749	4095	44761	2051	1117	3262	1812	2266	2708	1228	2784	2025	3534	6372	5707	3087	2306	2902	1600	44761	6104	141	619	5344	6734	854	1255	4625	5705	1148	1887	2670	9786	4657	3147	1982	15287	11657	2631	999	153	992	22979	0.4142	46958	44761	23861	20900	46958	44761	2197															19908	867	2178	3219	4307	4714	1914	2455	254	20900	587	9482	5929	3757	1145	29.5	969	908	637	852	1156	1538		138401	10458	4181	6424	16269	21788	79281		57222	10664	16757	12391	9396	5164	1721	1129		151151	130189	8861	7335	3925	841	136745	63922	53559	5633	2509	2000	221
ACSSF	ca	0	22					6	33																																						05000US06033	Lake County			6033	Lake County, California	64386	64386	51.2416392424	1256.5171792302	1329.427	1256.517	72.91016	25968	14708	10589	4119	1669	2450	11260	6028	5232	2.44	47186	6653	40533	26179	7281	2594	719	155				52193	27456	0	27456	24220	3236	24737	27456	24220	3236	25968	1410	2148	1083	1358	1554	1343	2027	1275	2166	1739	2098	2775	1643	1160	1239	950	25968	3767	522	822	2423	4130	378	907	2845	5468	1569	2422	1477	3716	1534	1232	950	7767	5594	1624	549	637	483	28056	0.4762	34566	25968	17475	8493	34566	25968	8598																								8493	603	3584	1930	1647	729	29.1000003815	992	866	758	904	1233			63532	5852			7267	4784	39462		20121	3378	6379	3279	3241	1355	1795	694		63455	54454	6886	2063	21	31	62487	24321	19570	4142	578	0	31
