Geo_FIPS	Geo_GEOID	Geo_NAME	Geo_QName	Geo_STUSAB	Geo_SUMLEV	Geo_GEOCOMP	Geo_FILEID	Geo_LOGRECNO	Geo_US	Geo_REGION	Geo_DIVISION	Geo_STATECE	Geo_STATE	Geo_COUNTY	Geo_COUSUB	Geo_PLACE	Geo_PLACESE	Geo_TRACT	Geo_BLKGRP	Geo_CONCIT	Geo_AIANHH	Geo_AIANHHFP	Geo_AIHHTLI	Geo_AITSCE	Geo_AITS	Geo_ANRC	Geo_CBSA	Geo_CSA	Geo_METDIV	Geo_MACC	Geo_MEMI	Geo_NECTA	Geo_CNECTA	Geo_NECTADIV	Geo_UA	Geo_UACP	Geo_CDCURR	Geo_SLDU	Geo_SLDL	Geo_VTD	Geo_ZCTA3	Geo_ZCTA5	Geo_SUBMCD	Geo_SDELM	Geo_SDSEC	Geo_SDUNI	Geo_UR	Geo_PCI	Geo_TAZ	Geo_UGA	Geo_BTTR	Geo_BTBG	Geo_PUMA5	Geo_PUMA1	SE_A00001_001	SE_A00002_001	SE_A00002_002	SE_A00002_003	SE_A00003_001	SE_A00003_002	SE_A00003_003	SE_A01001_001	SE_A01001_002	SE_A01001_003	SE_A01001_004	SE_A01001_005	SE_A01001_006	SE_A01001_007	SE_A01001_008	SE_A01001_009	SE_A01001_010	SE_A01001_011	SE_A01001_012	SE_A01001_013	SE_A10008_001	SE_A10008_002	SE_A10008_003	SE_A10008_004	SE_A10008_005	SE_A10008_006	SE_A10008_007	SE_A10008_008	SE_A10008_009	SE_A10003_001	SE_A17002_001	SE_A17002_002	SE_A17002_003	SE_A17002_004	SE_A17002_005	SE_A17002_006	SE_A17002_007	SE_A17005_001	SE_A17005_002	SE_A17005_003	SE_A17004_001	SE_A17004_002	SE_A17004_003	SE_A17004_004	SE_A17004_005	SE_A17004_006	SE_A17004_007	SE_A17004_008	SE_A17004_009	SE_A17004_010	SE_A17004_011	SE_A17004_012	SE_A17004_013	SE_A17004_014	SE_A14001_001	SE_A14001_002	SE_A14001_003	SE_A14001_004	SE_A14001_005	SE_A14001_006	SE_A14001_007	SE_A14001_008	SE_A14001_009	SE_A14001_010	SE_A14001_011	SE_A14001_012	SE_A14001_013	SE_A14001_014	SE_A14001_015	SE_A14001_016	SE_A14001_017	SE_A14024_001	SE_A14025_001	SE_A14025_002	SE_A14025_003	SE_A14025_004	SE_A14025_005	SE_A14025_006	SE_A14028_001	SE_A10060_001	SE_A10060_002	SE_A10060_003	SE_A10044_001	SE_A10044_002	SE_A10044_003	SE_A10047_001	SE_A10047_002	SE_A10047_003	SE_A10047_004	SE_A10035_001	SE_A10035_002	SE_A10035_003	SE_A10035_004	SE_A10035_005	SE_A10035_006	SE_A10035_007	SE_A10035_008	SE_A10035_009	SE_A10035_010	SE_A18001_001	SE_A18001_002	SE_A18001_003	SE_A18001_004	SE_A18001_005	SE_A18001_006	SE_A18001_007	SE_A18001_008	SE_A18001_009	SE_A18009_001	SE_A18010_001	SE_A18010_002	SE_A18010_003	SE_A18010_004	SE_A18010_005	SE_A18010_006	SE_A18010_007	SE_A10027_001	SE_A10027_002	SE_A10027_003	SE_A10027_004	SE_A10027_005	SE_A10027_006	SE_A10027_007	SE_A10027_008	SE_A10027_009	SE_A10027_010	SE_A10027_011	SE_A10027_012	SE_A10027_013	SE_A10027_014	SE_A10027_015	SE_A10027_016	SE_A10027_017	SE_A13004_001	SE_A13004_002	SE_A13004_003	SE_A13004_004	SE_A13004_005	SE_A13004_006	SE_A13004_007	SE_A09003_001	SE_A08001_001	SE_A08001_002	SE_A08001_003	SE_A08001_004	SE_A08001_005	SE_A08001_006	SE_A08002B_007	SE_A08002B_001	SE_A08002B_002	SE_A08002B_003	SE_A08002B_004	SE_A08002B_005	SE_A08002B_006	SE_A10066_001	SE_A10066_002	SE_A10066_003	SE_A10066_004	SE_A10066_005	SE_A10066_006	SE_A10066_007	SE_A10066_008
90090001	86000US90001	ZCTA5 90001	ZCTA5 90001	us	860	0	ACSSF	40596																																	900	90001													58975	58975	16838.63	3.5023641036	3.502364	3.502364	0	58975	5046	5391	5053	3000	7012	9251	7699	7030	5396	2558	1033	506	13815	11324	6333	4991	1624	3367	2491	1393	1098	4.26	42463	26372	4	26368	23818	2550	16091	26368	23818	2550	23818	187	2593	4551	1227	2507	1999	174	497	1741	3650	2537	1704	451	13815	1185	932	898	1138	947	997	1234	712	513	1246	1188	1335	718	425	241	106	12835	4.02	10.13	15.66	24.26	45.93	16.32	0.4163	13815	4966	8849	14294	13815	479	479	164	26	289	4966	48	45	42	70	1697	2470	405	88	101	8657	82	473	857	2187	2098	1556	1153	251	1087	1087	781	912	1195	1425	1508	1650	13815	9	179	395	314	411	415	423	648	966	1426	4568	2275	934	316	344	192	58816	6668	3931	6312	11357	9767	20781	33	58087	53336	4177	179	192	203	58024	36851	33075	3412	102	144	118	13815	1834	2083	2594	2513	2045	1330	1416
90090002	86000US90002	ZCTA5 90002	ZCTA5 90002	us	860	0	ACSSF	40597																																	900	90002													53111	53111	17345.07	3.0620226812	3.062023	3.062023	0	53111	4778	4666	4745	3233	6710	7535	7340	6633	4166	2104	869	332	12706	10188	5110	5078	1381	3697	2518	1166	1352	4.17	37859	21931	0	21931	19665	2266	15928	21931	19665	2266	19665	138	1862	2773	1128	2494	1772	106	410	2057	3004	2112	1406	403	12706	1213	1504	1012	939	913	703	883	646	595	763	1190	1057	604	351	271	62	12372	3.49	8.76	15.01	24.13	48.61	18.72	0.4518	12706	4540	8166	13334	12706	628	628	172	69	387	4540	46	57	30	63	1986	2017	313	0	28	7882	345	898	655	1130	1558	1163	1676	457	1147	1147	836	847	1142	1362	1771	1934	12706	12	96	488	643	451	439	366	458	653	607	3685	3045	1074	278	127	284	52845	7569	5188	4608	8898	8433	18149	35	52244	48695	3228	85	60	176	52134	31660	29215	2234	42	45	124	12706	2096	2232	2020	2266	1719	895	1478
90090003	86000US90003	ZCTA5 90003	ZCTA5 90003	us	860	0	ACSSF	40598																																	900	90003													72741	72741	20483.34	3.5512276505	3.551383	3.551228	0.0001555992	72741	6688	6517	6096	4209	8056	12030	9842	8940	6193	2676	994	500	17127	13901	6579	7322	2143	5179	3226	1716	1510	4.23	52008	32066	0	32066	28690	3376	19942	32066	28690	3376	28690	255	2606	4293	1336	3159	2408	252	793	3066	4365	3460	2200	497	17127	1781	1541	1317	1355	1059	1060	885	1167	836	1247	1566	1593	913	421	309	77	12316	3.5	9.18	15.78	24.63	46.92	17.22	0.4355	17127	4856	12271	18137	17127	1010	1010	332	31	647	4856	54	29	70	148	1664	2392	435	29	35	12026	277	821	913	2119	2640	2015	2217	1024	1178	1178	714	969	1162	1585	1758	1328	17127	0	63	335	477	476	498	534	598	857	1474	5616	3505	1625	531	293	245	72362	9149	5824	7213	14831	11434	23911	35	71504	63967	6961	154	216	206	71254	48315	42139	5730	124	193	129	17127	2594	2479	2966	3345	2757	1476	1510
90090004	86000US90004	ZCTA5 90004	ZCTA5 90004	us	860	0	ACSSF	40599																																	900	90004													61586	61586	20204.76	3.0480940452	3.048094	3.048094	0	61586	3427	3231	3548	1927	5582	13092	9737	8409	6357	3872	1763	641	21971	12547	8006	4541	1406	3135	9424	5006	4418	2.76	50766	35585	0	35585	33874	1711	15181	35585	33874	1711	33874	163	2768	1511	1077	3584	1459	2169	1921	4215	5618	5766	3133	490	21971	1230	1232	1088	1465	1433	1030	1310	1316	1167	1766	2223	2107	1276	823	755	1750	31139	3.18	7.48	11.86	18.74	58.74	30.79	0.5402	21971	3670	18301	24883	21971	2912	2912	711	98	2103	3670	0	14	43	56	44	187	932	533	1861	17941	212	492	1123	3127	4386	3277	3274	2050	1229	1229	956	1176	1553	2080	2117	1406	21971	26	72	179	180	214	392	483	826	1414	1877	7969	3514	1596	813	2056	360	61417	4342	2657	4093	8943	9387	31995	32	61102	55730	3885	449	537	501	60160	49373	44990	3107	330	483	463	21971	6379	6385	3842	2854	1539	721	251
90090005	86000US90005	ZCTA5 90005	ZCTA5 90005	us	860	0	ACSSF	40600																																	900	90005													39479	39479	36419.6	1.0840042502	1.084004	1.084004	0	39479	2333	2251	1802	803	3357	8640	6676	5085	3780	2816	1334	602	16442	8178	4550	3628	1342	2286	8264	4337	3927	2.39	32806	23161	0	23161	21500	1661	9645	23161	21500	1661	21500	56	1482	1694	660	2460	828	569	1159	3114	2687	4388	2084	319	16442	1311	1887	1190	1359	1266	1172	973	817	766	1260	1496	1236	577	334	360	438	22694	3.48	8.39	13.62	21.56	52.95	25.17	0.4895	16442	1303	15139	17818	16442	1376	1376	587	0	789	1303	43	15	36	0	3	146	436	172	452	14939	673	717	1749	2506	3305	2647	2155	1187	1138	1138	893	1187	1665	1461		1289	16442	14	42	639	173	280	347	597	1211	1272	1284	6105	2278	808	461	731	200	39331	3596	2573	4867	6055	5230	17010	34	39090	34164	3695	389	442	400	38869	35414	30771	3470	362	431	380	16442	6298	4939	2183	1794	832	293	103
90090006	86000US90006	ZCTA5 90006	ZCTA5 90006	us	860	0	ACSSF	40601																																	900	90006													61698	61698	32137.77	1.9197969257	1.919797	1.919797	0	61698	4146	4696	3589	2456	6046	11813	8591	7820	6310	3755	1688	788	19419	12623	6214	6409	2176	4233	6796	3641	3155	3.12	48522	34535	8	34527	31758	2769	13987	34527	31758	2769	31758	89	2723	3608	722	3444	1219	640	1351	3775	3798	6298	3590	501	19419	1424	1512	1977	1448	1700	1534	1443	1188	910	1505	1653	1353	705	447	403	217	16383	4.42	9.74	15.06	22.59	48.19	19.83	0.4328	19419	1708	17711	20880	19419	1461	1461	808	9	644	1708	3	8	21	24	148	402	727	247	128	17450	560	915	2135	3799	4631	2809	1808	793	1071	1071	836	1073	1307	1551	1634	2118	19419	22	105	493	230	340	513	933	1336	1911	1982	7576	2118	738	424	437	261	61066	5101	4733	7492	13311	9556	20873	36	60889	55146	4271	438	629	405	59796	53605	48425	3857	362	589	372	19419	4800	5034	3404	3050	1636	877	618
90090007	86000US90007	ZCTA5 90007	ZCTA5 90007	us	860	0	ACSSF	40602																																	900	90007													41716	41716	16908.7	2.467131894	2.467132	2.467132	0	41716	1336	1642	1728	1059	15652	7245	3326	3094	3070	2091	994	479	11884	5462	2792	2670	878	1792	6422	3201	3221	2.98	36642	19691	4	19687	17181	2506	16951	19687	17181	2506	17181	76	1023	1491	310	1608	852	475	658	1816	5351	1973	1309	239	11884	2504	1558	961	882	776	551	574	391	328	729	797	973	263	274	161	162	16212	1.07	5.64	11.05	20.47	61.78	34.48	0.6052	11884	1344	10540	12914	11884	1030	1030	469	23	538	1344	17	8	16	4	108	357	502	212	120	10319	365	608	1168	1827	1939	1436	1634	1342	1154	1154	856	1074	1375	1585	1903	1335	11884	69	62	333	156	261	388	585	659	906	1025	3463	1829	1006	321	600	221	35805	9771	2830	3214	4950	3351	11689	31	41479	31241	5519	1035	1376	2308	35172	30055	22441	4346	470	863	1935	11884	3627	3050	1890	1807	828	394	288
90090008	86000US90008	ZCTA5 90008	ZCTA5 90008	us	860	0	ACSSF	40603																																	900	90008													31739	31739	8640.941	3.6730950105	3.69956	3.673095	0.02646499	31739	1495	1181	1722	1140	3052	4247	4211	4791	4694	2945	1617	644	14834	6691	3396	3295	728	2567	8143	3016	5127	2.13	26959	16285	0	16285	14597	1688	10674	16285	14597	1688	14597	13	706	540	170	1691	1290	497	782	1738	4380	1223	772	795	14834	1543	1681	962	1066	640	733	803	682	553	1113	1019	1165	1060	554	643	617	31172	2.22	6.68	12.73	22.2	56.17	25.33	0.5351	14834	5004	9830	16087	14834	1253	1253	446	42	765	5004	16	14	68	35	148	1310	1668	1307	438	9702	499	440	745	1586	2516	2141	1437	338	1157	1157	892	1070	1301	1611	1254		14834	85	87	528	379	302	289	437	570	656	1042	5150	2087	981	615	1498	128	31664	2696	1400	2830	3885	2639	18214	35	31338	28250	2464	247	330	47	31259	19176	16736	2060	185	170	25	14834	7286	3875	1812	1029	539	206	87
90090010	86000US90010	ZCTA5 90010	ZCTA5 90010	us	860	0	ACSSF	40604																																	900	90010													3702	3702	8095.052	0.4573164046	0.4573164	0.4573164	0	3702	43	225	31	29	339	977	504	355	541	425	169	64	1961	869	689	180	67	113	1092	538	554	1.88	3396	2194	0	2194	2017	177	1202	2194	2017	177	2017	0	69	58	120	128	68	108	327	349	202	440	98	50	1961	155	94	89	203	56	136	28	81	43	60	273	196	246	71	78	152	42734	2.57	7.31	15.01	23.48	51.63	22.33	0.4941	1961	420	1541	2294	1961	333	333	114	0	219	420	0	10	0	0	0	20	108	142	140	1499	12	59	15	149	132	91	427	614	1841	1841	1553	1969	2259	1092			1961	0	0	12	28	7	31	0	15	81	68	299	464	404	206	304	42	3702	313	34	110	224	447	2574	30	3697	2923	610	67	38	59	3683	2844	2145	540	62	38	59	1961	913	739	166	55	88	0	0
90090011	86000US90011	ZCTA5 90011	ZCTA5 90011	us	860	0	ACSSF	40605																																	900	90011													109414	109414	25528.81	4.2859032552	4.286102	4.285903	0.0001988426	109414	9280	10242	9808	5623	12902	18188	15470	13257	8261	4042	1839	502	24160	20631	10090	10541	3654	6887	3529	1783	1746	4.52	78354	50314	19	50295	46307	3988	28040	50295	46307	3988	46307	327	3978	9823	2726	5724	3506	344	846	4338	5992	4986	3128	589	24160	2039	1885	2121	1895	1704	1771	1432	1520	1221	1901	2060	2233	1058	656	427	237	11985	4.11	9.58	15.46	23.8	47.05	17.78	0.4275	24160	6213	17947	25200	24160	1040	1040	229	110	701	6213	32	37	61	170	1608	3444	726	69	66	17675	406	1230	1740	3346	4311	3426	2317	899	1123	1123	818	947	1227	1461	1672	1634	24160	28	141	484	533	699	631	961	1140	1795	1815	8736	4013	1761	799	352	272	108567	14266	9544	12064	21586	16811	34296	33	108043	100076	6843	196	383	545	107748	77902	71847	5239	106	297	413	24160	2407	3692	4021	4957	4100	2238	2745
90090012	86000US90012	ZCTA5 90012	ZCTA5 90012	us	860	0	ACSSF	40606																																	900	90012													35913	35913	11099.58	3.23552696	3.294615	3.235527	0.05908753	35913	995	862	941	615	4345	10055	5667	4218	2896	2269	2105	945	12736	4901	3382	1519	451	1068	7835	4088	3747	2.11	32974	14809	0	14809	13631	1178	18165	14809	13631	1178	13631	31	362	1094	525	1249	467	935	1040	2175	2622	2052	527	552	12736	1248	1764	938	746	521	511	397	442	296	715	974	1137	1043	660	624	720	27356	2.17	5.66	12.48	23.93	55.76	24.26	0.541	12736	1307	11429	13452	12736	716	716	336	0	380	1307	0	19	0	0	106	541	488	112	41	11246	924	1168	770	912	1107	676	1834	3855	1518	1518	1493	1396	1611	1438	1864	631	12736	16	27	905	419	580	368	416	525	497	560	1891	1929	2318	1507	595	183	26939	3002	1529	3301	3120	2618	13369	28	35755	24303	8956	1085	881	530	26724	24147	18085	4216	573	822	451	12736	5931	3838	1448	912	357	146	104
