Zip Code	State	County
94501	CA	Alameda County
94560	CA	Alameda County
94577	CA	Alameda County
94578	CA	Alameda County
94550	CA	Alameda County
94611	CA	Alameda County
94705	CA	Alameda County
94505	CA	Alameda County
94568	CA	Alameda County
94551	CA	Alameda County
94586	CA	Alameda County
94702	CA	Alameda County
94709	CA	Alameda County
94662	CA	Alameda County
94514	CA	Alameda County
94544	CA	Alameda County
94566	CA	Alameda County
94608	CA	Alameda County
94609	CA	Alameda County
94707	CA	Alameda County
94604	CA	Alameda County
95035	CA	Alameda County
94543	CA	Alameda County
94614	CA	Alameda County
94712	CA	Alameda County
94540	CA	Alameda County
94541	CA	Alameda County
94555	CA	Alameda County
94579	CA	Alameda County
94612	CA	Alameda County
94601	CA	Alameda County
94623	CA	Alameda County
94536	CA	Alameda County
94552	CA	Alameda County
94621	CA	Alameda County
94703	CA	Alameda County
95377	CA	Alameda County
94708	CA	Alameda County
94620	CA	Alameda County
94615	CA	Alameda County
94546	CA	Alameda County
94588	CA	Alameda County
94603	CA	Alameda County
94605	CA	Alameda County
94606	CA	Alameda County
94704	CA	Alameda County
94619	CA	Alameda County
94706	CA	Alameda County
94557	CA	Alameda County
94539	CA	Alameda County
94542	CA	Alameda County
94587	CA	Alameda County
94545	CA	Alameda County
94607	CA	Alameda County
94618	CA	Alameda County
94602	CA	Alameda County
94720	CA	Alameda County
95391	CA	Alameda County
94701	CA	Alameda County
94661	CA	Alameda County
94613	CA	Alameda County
94502	CA	Alameda County
94538	CA	Alameda County
94580	CA	Alameda County
94610	CA	Alameda County
94710	CA	Alameda County
94537	CA	Alameda County
94624	CA	Alameda County
94666	CA	Alameda County
96120	CA	Alpine County
95223	CA	Alpine County
95666	CA	Amador County
95675	CA	Amador County
95669	CA	Amador County
95699	CA	Amador County
95646	CA	Amador County
95640	CA	Amador County
95629	CA	Amador County
95689	CA	Amador County
95685	CA	Amador County
95654	CA	Amador County
95665	CA	Amador County
95601	CA	Amador County
95642	CA	Amador County
95917	CA	Butte County
95940	CA	Butte County
95929	CA	Butte County
95954	CA	Butte County
95926	CA	Butte County
95901	CA	Butte County
95973	CA	Butte County
95914	CA	Butte County
95948	CA	Butte County
95927	CA	Butte County
95942	CA	Butte County
95967	CA	Butte County
95968	CA	Butte County
95958	CA	Butte County
95974	CA	Butte County
95916	CA	Butte County
95930	CA	Butte County
95969	CA	Butte County
95938	CA	Butte County
95941	CA	Butte County
95976	CA	Butte County
95965	CA	Butte County
95978	CA	Butte County
95928	CA	Butte County
95966	CA	Butte County
95228	CA	Calaveras County
95246	CA	Calaveras County
95255	CA	Calaveras County
95251	CA	Calaveras County
95248	CA	Calaveras County
95229	CA	Calaveras County
95223	CA	Calaveras County
95221	CA	Calaveras County
95226	CA	Calaveras County
95222	CA	Calaveras County
95232	CA	Calaveras County
95249	CA	Calaveras County
95233	CA	Calaveras County
95225	CA	Calaveras County
95252	CA	Calaveras County
95247	CA	Calaveras County
95245	CA	Calaveras County
95254	CA	Calaveras County
95224	CA	Calaveras County
95236	CA	Calaveras County
95230	CA	Calaveras County
95257	CA	Calaveras County
